YEAR, JUN, JUL, AUG, SEP,JJAS
1872,1892,2913,2452,1879,9136
1873,1130,2645,2142,1656,7573
1874,2279,3069,2335,2062,9745
1875,1926,3079,2187,2105,9297
1876,1233,2968,1956,1620,7776
1877,1424,1564,1569,1483,6040
1878,1304,2940,3393,2124,9761
1879,1900,2241,3221,1616,8978
1880,1876,2717,1768,1840,8201
1881,1607,2927,2646,1433,8613
1882,2130,3311,1903,1685,9029
1883,2043,2690,1879,1881,8492
1884,1593,2924,2426,2385,9328
1885,1940,2728,2479,1327,8474
1886,1977,3159,2218,1390,8744
1887,1898,3013,2574,1508,8993
1888,1323,2743,2800,1250,8116
1889,2035,2797,2781,1693,9306
1890,2279,3009,2141,1626,9055
1891,834,2571,2297,2222,7924
1892,1579,3139,3063,2135,9916
1893,2416,2568,2309,2256,9549
1894,2168,3114,2415,2017,9714
1895,1982,2567,2299,1388,8236
1896,2034,2845,2633,773,8284
1897,1426,2599,2905,1981,8911
1898,1717,2929,2208,1992,8846
1899,1951,1878,1441,1020,6290
1900,1287,2521,2713,2372,8893
1901,1149,2225,2590,1256,7220
1902,1038,2796,1972,2112,7918
1903,1269,2789,2593,1957,8608
1904,1795,2476,1970,1262,7503
1905,908,2456,2052,1748,7164
1906,1818,2875,2418,1738,8849
1907,1541,2217,3014,1003,7774
1908,1278,3164,2955,1573,8970
1909,2098,2961,2226,1608,8893
1910,2117,2377,2827,2028,9349
1911,1925,1534,2110,1794,7363
1912,1058,3206,2579,1215,8058
1913,2151,2642,1881,1170,7844
1914,1616,3208,2328,1828,8980
1915,1567,2298,2131,1810,7806
1916,1991,2582,2897,2036,9506
1917,2143,2466,2755,2678,10042
1918,1813,1435,2205,1055,6508
1919,1794,2712,2808,1531,8845
1920,1426,2916,1628,1220,7190
1921,1672,2666,2362,1958,8658
1922,1803,2910,2028,1949,8690
1923,936,2970,2604,1720,8230
1924,1108,2999,2250,2269,8626
1925,1871,2858,2133,1174,8036
1926,815,2876,3236,2099,9026
1927,1611,3194,2218,1507,8530
1928,1541,2834,1982,1320,7677
1929,1828,2870,2212,1301,8211
1930,1731,2801,1783,1729,8044
1931,1148,2826,2898,1898,8770
1932,1121,3136,2041,1736,8034
1933,2023,2572,3103,2060,9758
1934,2035,2548,2838,1713,9134
1935,1402,3047,2218,1768,8435
1936,2394,2604,2189,1895,9082
1937,1557,3283,1891,1688,8419
1938,2388,2678,2420,1596,9082
1939,1474,2528,2367,1525,7894
1940,1693,2883,2843,1112,8531
1941,1643,2183,2098,1359,7283
1942,1738,3225,2808,1806,9577
1943,1533,2971,2137,2041,8682
1944,1372,3460,2974,1397,9203
1945,1588,3137,2257,2126,9108
1946,2075,2822,2767,1372,9036
1947,1227,2909,2960,2357,9453
1948,1505,2794,2608,1832,8739
1949,1380,2946,2382,2329,9037
1950,1468,3229,2237,1835,8769
1951,1551,2543,2076,1218,7388
1952,1617,2766,2367,1179,7929
1953,1563,3000,2868,1798,9229
1954,1382,2837,2229,2405,8853
1955,1797,2239,3039,2225,9300
1956,2079,3415,2538,1800,9832
1957,1453,2619,2603,1210,7885
1958,1151,2899,2701,2142,8893
1959,1573,3211,2501,2156,9441
1960,1461,2777,2502,1657,8397
1961,1870,3162,2737,2433,10202
1962,1059,2594,2363,2082,8098
1963,1525,2396,3029,1629,8579
1964,1437,3130,2637,2021,9225
1965,1104,2669,1894,1427,7093
1966,1658,2375,1982,1384,7399
1967,1414,2924,2574,1689,8601
1968,1365,2886,1947,1348,7546
1969,1210,3004,2387,1709,8310
1970,2108,2228,2989,2073,9398
1971,2194,2493,2588,1593,8868
1972,1226,1838,2172,1292,6528
1973,1412,2787,3075,1860,9134
1974,1059,2736,2282,1403,7480
1975,1801,2901,2647,2278,9627
1976,1419,2882,2786,1481,8568
1977,1883,3106,2395,1448,8832
1978,1996,2761,2735,1601,9093
1979,1434,2258,1990,1395,7077
1980,2151,2783,2534,1360,8828
1981,1387,2889,2263,1983,8522
1982,1296,2163,2685,1210,7354
1983,1378,2737,2934,2507,9556
1984,1739,2612,2591,1425,8367
1985,1404,2534,2185,1475,7598
1986,1776,2384,2135,1135,7430
1987,1158,2068,2370,1375,6971
1988,1565,3232,2762,2056,9615
1989,1835,2862,2311,1658,8666
1990,1721,2630,2836,1899,9086
1991,1858,2607,2431,1265,8161
1992,1367,2552,2724,1505,8148
1993,1660,2811,1894,2095,8460
1994,2033,3341,2706,1495,9575
1995,1217,2847,2439,1693,8196
1996,1769,2454,2737,1550,8510
1997,1653,2691,2541,1660,8545
1998,1440,2597,2441,2114,8592
1999,1677,2499,2027,1875,8078
2000,1880,2570,2169,1239,7858
2001,2203,2680,1899,1163,7944
2002,1703,1213,2278,1274,6468
2003,1617,2931,2272,1741,8561
2004,1600,2180,2425,1212,7417
2005,1422,2970,1879,2014,8285
2006,1547,2851,2900,1755,9053
2007,1949,2796,2577,2149,9471
2008,2035,2444,2629,1714,8822
2009,899,2688,1952,1481,7020
2010,1383,2915,2571,1988,8857
2011,1846,2402,2809,1972,9029
2012,1127,2520,2576,1828,8051
2013,2285,3122,2467,1599,9473
2014,908,2564,2190,1702,7364
2015,1862,2305,1855,1259,7281
2016,1475,2981,2306,1687,8449
